Id_de_sentencia,IdVictima,TipoPersona,TipoVictima,Sexo,FchVictimizanteIni,FchVictimizanteFin,ViolaciónDerechoHumano
3130,3610,Persona Jurídica,,Se desconoce,31/08/2015 12:00:00 a. m.,31/08/2015 12:00:00 a. m.,No
615,2083,Persona Jurídica,,Se desconoce,24/09/2015 12:00:00 a. m.,24/09/2015 12:00:00 a. m.,No
2547,2947,Persona Jurídica,,Se desconoce,15/05/2015 12:00:00 a. m.,15/05/2015 12:00:00 a. m.,No
3133,3613,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
42,45,Persona Jurídica,,Se desconoce,14/12/2015 12:00:00 a. m.,14/12/2015 12:00:00 a. m.,No
1174,2013,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
202,655,Persona Jurídica,,Se desconoce,06/12/2015 12:00:00 a. m.,06/12/2015 12:00:00 a. m.,No
3147,3633,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
419,439,Persona Jurídica,,Se desconoce,14/12/2015 12:00:00 a. m.,14/12/2015 12:00:00 a. m.,No
4759,9519,Persona Física,Directa,Hombre,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
4759,9520,Persona Física,Directa,Hombre,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
4759,9521,Persona Física,Directa,Hombre,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
4759,9522,Persona Física,Directa,Hombre,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
4759,9523,Persona Física,Directa,Hombre,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
4759,9524,Persona Física,Directa,Mujer,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
1464,1609,Persona Jurídica,,Se desconoce,10/01/2016 12:00:00 a. m.,10/01/2016 12:00:00 a. m.,No
1262,1397,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3148,3634,Persona Jurídica,,Se desconoce,25/10/2015 12:00:00 a. m.,25/10/2015 12:00:00 a. m.,No
3053,3528,Persona Jurídica,Directa,No tiene valor,20/12/2015 12:00:00 a. m.,20/12/2015 12:00:00 a. m.,No
3053,3521,Persona Jurídica,,Se desconoce,20/12/2015 12:00:00 a. m.,20/12/2015 12:00:00 a. m.,No
1553,1715,Persona Jurídica,,Se desconoce,09/12/2015 12:00:00 a. m.,09/12/2015 12:00:00 a. m.,No
41,44,Persona Jurídica,,Se desconoce,13/01/2016 12:00:00 a. m.,13/01/2016 12:00:00 a. m.,No
1552,1713,Persona Jurídica,,Se desconoce,16/01/2016 12:00:00 a. m.,16/01/2016 12:00:00 a. m.,No
3203,3698,Persona Jurídica,,Se desconoce,14/12/2015 12:00:00 a. m.,14/12/2015 12:00:00 a. m.,No
1549,1711,Persona Jurídica,,Se desconoce,20/01/2016 12:00:00 a. m.,20/01/2016 12:00:00 a. m.,No
1850,2094,Persona Jurídica,,Se desconoce,23/01/2016 12:00:00 a. m.,23/01/2016 12:00:00 a. m.,No
203,688,Persona Jurídica,,Se desconoce,03/12/2015 12:00:00 a. m.,03/12/2015 12:00:00 a. m.,No
1783,2023,Persona Jurídica,,Se desconoce,03/12/2015 12:00:00 a. m.,03/12/2015 12:00:00 a. m.,No
1777,2185,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1833,2077,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1546,2173,Persona Jurídica,,Se desconoce,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
1266,1401,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1273,1412,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2109,2424,Persona Jurídica,,Se desconoce,31/01/2016 12:00:00 a. m.,31/01/2016 12:00:00 a. m.,No
2296,2677,Persona Física,Directa,Hombre,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2678,Persona Física,Directa,Hombre,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2679,Persona Física,Directa,Hombre,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2680,Persona Física,Indirecta,Mujer,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2684,Persona Física,Directa,Hombre,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2685,Persona Física,Indirecta,Mujer,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2686,Persona Física,Indirecta,Mujer,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2676,Persona Física,Indirecta,Mujer,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
2296,2681,Persona Jurídica,,Se desconoce,30/01/2016 12:00:00 a. m.,30/01/2016 12:00:00 a. m.,No
421,442,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3149,3635,Persona Jurídica,,Se desconoce,10/01/2016 12:00:00 a. m.,10/01/2016 12:00:00 a. m.,No
3055,3532,Persona Jurídica,Directa,No tiene valor,07/02/2016 12:00:00 a. m.,07/02/2016 12:00:00 a. m.,No
1857,2101,Persona Jurídica,,Se desconoce,07/02/2016 12:00:00 a. m.,07/02/2016 12:00:00 a. m.,No
1312,1453,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
163,164,Persona Jurídica,,Se desconoce,12/02/2016 12:00:00 a. m.,12/02/2016 12:00:00 a. m.,No
2611,3028,Persona Jurídica,,Se desconoce,12/02/2016 12:00:00 a. m.,12/02/2016 12:00:00 a. m.,No
1784,2178,Persona Jurídica,,Se desconoce,31/01/2016 12:00:00 a. m.,31/01/2016 12:00:00 a. m.,No
3205,3699,Persona Jurídica,,Se desconoce,13/02/2016 12:00:00 a. m.,13/02/2016 12:00:00 a. m.,No
2114,2429,Persona Física,Directa,Mujer,17/02/2016 12:00:00 a. m.,17/02/2016 12:00:00 a. m.,No
2114,2432,Persona Física,Directa,Hombre,17/02/2016 12:00:00 a. m.,17/02/2016 12:00:00 a. m.,No
2114,2434,Persona Física,Directa,Hombre,17/02/2016 12:00:00 a. m.,17/02/2016 12:00:00 a. m.,No
2114,2437,Persona Física,Directa,Hombre,17/02/2016 12:00:00 a. m.,17/02/2016 12:00:00 a. m.,No
1543,1704,Persona Jurídica,,Se desconoce,17/02/2016 12:00:00 a. m.,17/02/2016 12:00:00 a. m.,No
1059,1188,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
423,445,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1697,1879,Persona Jurídica,,Se desconoce,13/01/2016 12:00:00 a. m.,13/01/2016 12:00:00 a. m.,No
1314,1458,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2316,2718,Persona Jurídica,,Se desconoce,26/02/2016 12:00:00 a. m.,26/02/2016 12:00:00 a. m.,No
1511,1657,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1511,1658,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3150,3636,Persona Jurídica,,Se desconoce,02/02/2016 12:00:00 a. m.,02/02/2016 12:00:00 a. m.,No
2121,2443,Persona Física,Directa,Hombre,03/03/2016 12:00:00 a. m.,03/03/2016 12:00:00 a. m.,No
2121,2444,Persona Física,Directa,Hombre,03/03/2016 12:00:00 a. m.,03/03/2016 12:00:00 a. m.,No
2121,2445,Persona Física,Directa,Hombre,03/03/2016 12:00:00 a. m.,03/03/2016 12:00:00 a. m.,No
2121,2446,Persona Física,Directa,Hombre,03/03/2016 12:00:00 a. m.,03/03/2016 12:00:00 a. m.,No
2121,2447,Persona Física,Directa,Mujer,03/03/2016 12:00:00 a. m.,03/03/2016 12:00:00 a. m.,No
1541,1708,Persona Jurídica,,Se desconoce,04/03/2016 12:00:00 a. m.,04/03/2016 12:00:00 a. m.,No
78,78,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3063,3539,Persona Jurídica,,Se desconoce,09/03/2016 12:00:00 a. m.,09/03/2016 12:00:00 a. m.,No
155,157,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1518,1677,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2626,3053,Persona Jurídica,,Se desconoce,02/03/2016 12:00:00 a. m.,02/03/2016 12:00:00 a. m.,No
430,453,Persona Jurídica,,Se desconoce,13/03/2016 12:00:00 a. m.,13/03/2016 12:00:00 a. m.,No
1935,2167,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1315,1459,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1010,1132,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2205,2574,Persona Jurídica,,Se desconoce,29/03/2016 12:00:00 a. m.,29/03/2016 12:00:00 a. m.,No
1319,1463,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
158,159,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1765,1987,Persona Jurídica,,Se desconoce,12/04/2016 12:00:00 a. m.,12/04/2016 12:00:00 a. m.,No
2125,2448,Persona Jurídica,,Se desconoce,12/04/2016 12:00:00 a. m.,12/04/2016 12:00:00 a. m.,No
2685,3113,Persona Jurídica,,Se desconoce,13/04/2016 12:00:00 a. m.,13/04/2016 12:00:00 a. m.,No
524,614,Persona Jurídica,,Se desconoce,08/12/2015 12:00:00 a. m.,08/12/2015 12:00:00 a. m.,No
764,857,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
767,861,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
204,765,Persona Jurídica,,Se desconoce,23/12/2015 12:00:00 a. m.,23/12/2015 12:00:00 a. m.,No
1515,1665,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
30,33,Persona Jurídica,,Se desconoce,22/04/2016 12:00:00 a. m.,22/04/2016 12:00:00 a. m.,No
1463,1607,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1712,2298,Persona Jurídica,,Se desconoce,04/01/2016 12:00:00 a. m.,04/01/2016 12:00:00 a. m.,No
2030,2310,Persona Jurídica,,Se desconoce,25/05/2015 12:00:00 a. m.,25/05/2015 12:00:00 a. m.,No
672,767,Persona Jurídica,,Se desconoce,28/04/2016 12:00:00 a. m.,28/04/2016 12:00:00 a. m.,No
1512,1660,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1512,1661,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1512,1662,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1524,1687,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2512,2908,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2300,3273,Persona Jurídica,,Se desconoce,11/05/2016 12:00:00 a. m.,11/05/2016 12:00:00 a. m.,No
3152,3637,Persona Jurídica,,Se desconoce,13/05/2016 12:00:00 a. m.,13/05/2016 12:00:00 a. m.,No
1074,1207,Persona Jurídica,,Se desconoce,13/05/2016 12:00:00 a. m.,13/05/2016 12:00:00 a. m.,No
473,568,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2598,3010,Persona Jurídica,,Se desconoce,18/04/2016 12:00:00 a. m.,18/04/2016 12:00:00 a. m.,No
5,7,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2092,2396,Persona Jurídica,Directa,No tiene valor,16/05/2016 12:00:00 a. m.,16/05/2016 12:00:00 a. m.,No
1875,2113,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2524,2918,Persona Jurídica,,Se desconoce,15/05/2016 12:00:00 a. m.,15/05/2016 12:00:00 a. m.,No
2414,2821,Persona Jurídica,,Se desconoce,20/05/2016 12:00:00 a. m.,20/05/2016 12:00:00 a. m.,No
2130,2454,Persona Jurídica,,Se desconoce,22/05/2016 12:00:00 a. m.,22/05/2016 12:00:00 a. m.,No
3154,3643,Persona Jurídica,,Se desconoce,19/02/2016 12:00:00 a. m.,19/02/2016 12:00:00 a. m.,No
161,161,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
175,196,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
564,658,Persona Jurídica,,Se desconoce,25/05/2016 12:00:00 a. m.,25/05/2019 12:00:00 a. m.,No
2065,2355,Persona Jurídica,,Se desconoce,26/05/2016 12:00:00 a. m.,26/06/2016 12:00:00 a. m.,No
267,278,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
76,122,Persona Jurídica,,Se desconoce,16/07/2015 12:00:00 a. m.,16/07/2015 12:00:00 a. m.,No
3097,3581,Persona Jurídica,Directa,No tiene valor,30/03/2016 12:00:00 a. m.,30/03/2016 12:00:00 a. m.,No
3097,3582,Persona Jurídica,,Se desconoce,30/03/2016 12:00:00 a. m.,30/03/2016 12:00:00 a. m.,No
68,560,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2101,2412,Persona Jurídica,,Se desconoce,10/10/2015 12:00:00 a. m.,10/10/2015 12:00:00 a. m.,No
1320,1464,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2226,2583,Persona Jurídica,,Se desconoce,03/06/2016 12:00:00 a. m.,03/06/2016 12:00:00 a. m.,No
79,79,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1752,1957,Persona Jurídica,,Se desconoce,05/06/2016 12:00:00 a. m.,05/06/2016 12:00:00 a. m.,No
2676,3104,Persona Jurídica,,Se desconoce,06/06/2016 12:00:00 a. m.,06/06/2016 12:00:00 a. m.,No
3157,3650,Persona Jurídica,,Se desconoce,08/06/2016 12:00:00 a. m.,08/06/2016 12:00:00 a. m.,No
2308,2709,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3160,3652,Persona Jurídica,,Se desconoce,10/06/2016 12:00:00 a. m.,10/06/2016 12:00:00 a. m.,No
205,764,Persona Jurídica,,Se desconoce,17/12/2015 12:00:00 a. m.,17/12/2015 12:00:00 a. m.,No
2513,2909,Persona Jurídica,,Se desconoce,16/06/2016 12:00:00 a. m.,16/06/2016 12:00:00 a. m.,No
1611,1797,Persona Jurídica,,Se desconoce,16/06/2016 12:00:00 a. m.,16/06/2016 12:00:00 a. m.,No
3231,3725,Persona Jurídica,,,16/06/2016 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
400,411,Persona Jurídica,,Se desconoce,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,No
400,412,Persona Física,Directa,Mujer,12/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,413,Persona Física,Directa,Hombre,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,414,Persona Física,Directa,Mujer,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,415,Persona Física,Directa,Mujer,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,416,Persona Física,Directa,Hombre,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,417,Persona Física,Directa,Mujer,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
400,418,Persona Física,Directa,Mujer,14/06/2016 12:00:00 a. m.,14/06/2016 12:00:00 a. m.,Si
206,762,Persona Jurídica,,Se desconoce,22/05/2016 12:00:00 a. m.,22/05/2016 12:00:00 a. m.,No
1416,1559,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1829,2071,Persona Jurídica,,Se desconoce,21/06/2016 12:00:00 a. m.,21/06/2016 12:00:00 a. m.,No
1686,1868,Persona Jurídica,,Se desconoce,22/06/2016 12:00:00 a. m.,22/06/2016 12:00:00 a. m.,No
207,755,Persona Jurídica,,Se desconoce,25/06/2016 12:00:00 a. m.,25/06/2016 12:00:00 a. m.,No
268,279,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
269,281,Persona Jurídica,,Se desconoce,08/05/2016 12:00:00 a. m.,08/05/2016 12:00:00 a. m.,No
2066,2354,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
548,637,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3040,3507,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
270,282,Persona Jurídica,,Se desconoce,30/04/2016 12:00:00 a. m.,30/04/2016 12:00:00 a. m.,No
1514,1663,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2453,2861,Persona Jurídica,,Se desconoce,20/04/2016 12:00:00 a. m.,20/04/2016 12:00:00 a. m.,No
1110,1240,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2142,2486,Persona Jurídica,Directa,No tiene valor,30/06/2016 12:00:00 a. m.,30/06/2016 12:00:00 a. m.,No
196,220,Persona Jurídica,,Se desconoce,01/07/2016 12:00:00 a. m.,01/07/2016 12:00:00 a. m.,No
2456,2862,Persona Jurídica,,Se desconoce,09/04/2016 12:00:00 a. m.,09/04/2016 12:00:00 a. m.,No
526,616,Persona Jurídica,,Se desconoce,08/07/2016 12:00:00 a. m.,08/07/2016 12:00:00 a. m.,No
272,283,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1372,1521,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
948,3244,Persona Jurídica,,Se desconoce,13/07/2016 12:00:00 a. m.,13/07/2016 12:00:00 a. m.,No
468,561,Persona Jurídica,,Se desconoce,24/06/2016 12:00:00 a. m.,24/06/2016 12:00:00 a. m.,No
960,1078,Persona Jurídica,,Se desconoce,14/10/2015 12:00:00 a. m.,14/10/2015 12:00:00 a. m.,No
2183,2529,Persona Jurídica,,Se desconoce,15/06/2016 12:00:00 a. m.,15/06/2016 12:00:00 a. m.,No
1358,1503,Persona Jurídica,,Se desconoce,18/07/2016 12:00:00 a. m.,19/07/2016 12:00:00 a. m.,No
2277,2656,Persona Jurídica,,Se desconoce,19/07/2016 12:00:00 a. m.,19/07/2016 12:00:00 a. m.,No
1757,1963,Persona Jurídica,,Se desconoce,19/07/2016 12:00:00 a. m.,19/07/2016 12:00:00 a. m.,No
823,1122,Persona Jurídica,Directa,No tiene valor,20/07/2016 12:00:00 a. m.,20/07/2016 12:00:00 a. m.,No
1815,2057,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1822,2067,Persona Jurídica,,Se desconoce,25/07/2016 12:00:00 a. m.,25/07/2016 12:00:00 a. m.,No
2435,2843,Persona Física,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2804,3248,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3249,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3250,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3251,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3252,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3253,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3254,Persona Física,Directa,Mujer,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3255,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3256,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3257,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3258,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3259,Persona Física,Directa,Mujer,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3260,Persona Física,Directa,Hombre,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
2804,3261,Persona Física,Directa,Mujer,28/07/2016 12:00:00 a. m.,28/07/2016 12:00:00 a. m.,No
189,691,Persona Jurídica,,Se desconoce,18/07/2016 12:00:00 a. m.,18/07/2016 12:00:00 a. m.,No
1528,1691,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3008,3475,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1021,1145,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
273,285,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
863,954,Persona Jurídica,,Se desconoce,11/08/2016 12:00:00 a. m.,11/08/2016 12:00:00 a. m.,No
864,960,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
864,958,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
864,959,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
868,961,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3306,3798,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3307,3799,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
3305,3797,Persona Jurídica,,Se desconoce,06/07/2012 12:00:00 a. m.,18/08/2016 12:00:00 a. m.,No
3303,3794,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1396,1542,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1167,1300,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2549,2951,Persona Jurídica,,Se desconoce,19/08/2016 12:00:00 a. m.,19/08/2016 12:00:00 a. m.,No
2562,2975,Persona Jurídica,,Se desconoce,19/08/2016 12:00:00 a. m.,19/08/2016 12:00:00 a. m.,No
1062,1190,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
392,406,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2310,2712,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
