IdSentenciado,aniosPrision,mesesPrision,diasPrision,bReparacion,bReparacionDefinir,bDecomiso,sBienesDecomisados,bBeneficioCondicional,bSustitutivoPena
149,0,0,0,No,No,Si,objetos bélicos atribuidos,No,No
150,6,10,0,No,No,Si,objetos bélicos y narcótico atribuido,No,No
151,14,2,0,No,No,Si,objetos bélicos y narcóticos atribuidos,No,No
152,14,2,0,No,No,Si,objetos bélicos y narcóticos atribuidos,No,No
153,15,7,15,No,No,Si,objetos bélicos y narcóticos atribuidos,No,No
154,4.00,0.00,0.00,No,No,Si,El Narcótico asegurado,Si,No
156,12,11,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
157,12,11,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
160,5,10,0,No,No,Si,objetos bélicos y narcótico atribuido,No,No
162,2.00,8.00,0.00,No,No,Si,Dos armas de fuego,Si,No
163,0.00,11.00,0.00,No,No,Si,seis cartuchos,Si,Si
165,4,0,0,No,No,Si,narcótico atribuido,Si,No
166,2.00,3.00,0.00,No,No,Si,El arma de fuego asegurada,No,No
167,7,0,0,No,No,Si,objetos bélicos y narcótico atribuido,No,No
171,2.00,8.00,0.00,No,No,Si,arma y cartuchos,No,Si
172,4,0,0,No,No,Si,petrolífero y vehículos,Si,No
173,4,0,0,No,No,Si,petrolífero y vehiculos,Si,No
175,4,0,0,No,No,Si,petrolífero y vehículos,Si,No
176,2.00,0.00,0.00,No,No,Si,arma ,Si,Si
180,4.00,0.00,0.00,No,No,Si,arma y cartuchos,Si,Si
181,4.00,0.00,0.00,No,No,Si,Un kilo trescientos dos gramos dos miligramos de clorhidrato de metanfetamina.,No,Si
184,3,6,0,No,No,Si,objetos bélicos atribuidos,Si,No
185,7,6,0,No,No,Si,narcóticos atribuido y mochila,No,No
186,7,6,0,No,No,Si,narcóticos atribuidos y mochila,No,No
187,7,6,0,No,No,Si,narcóticos atribuidos y mochila,No,No
188,0,10,0,No,No,Si,narcótico atribuido,Si,No
191,10,0,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
192,10,0,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
193,10,0,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
194,4,6,0,No,No,Si,objetos bélicos atribuidos,No,No
195,6,8,0,No,No,Si,objetos bélicos atribuidos,No,No
196,4,0,0,No,No,Si,objetos bélicos atribuidos,Si,No
197,4,6,0,No,No,Si,objetos bélicos atribuidos,No,No
198,4,0,0,No,No,Si,objetos bélicos atribuidos,Si,No
199,5,0,0,No,No,Si,decomiso del numerario y vehículo afectos,No,No
200,5,0,0,No,No,Si,vehículo y numerario afecto,No,No
201,5,0,0,No,No,Si,numerario y vehículo afectos,No,No
204,3,0,0,No,No,Si,objeto bélico atribuido,Si,No
206,6.00,8.00,0.00,No,No,Si,Seiscientos sesenta y ocho gramos setecientos miligramos peso neto de clorhidrato de diacetilmorfina,No,No
209,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
210,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
211,2.00,8.00,0.00,No,No,Si,Cartuchos de arma de fuego.,Si,No
212,2.00,8.00,0.00,No,No,Si,Cartuchos para arma de fuego.,Si,No
217,2.00,3.00,0.00,No,No,Si,artefacto bélico asegurado.,Si,Si
219,1.00,8.00,0.00,Si,No,Si,cartuchos,No,Si
221,3.00,9.00,0.00,Si,No,Si,narcóticos,Si,No
222,2.00,4.00,0.00,Si,No,Si,arma y cartuchos,Si,No
223,2.00,4.00,0.00,Si,No,Si,arma y cartuchos,Si,No
225,2.00,3.00,0.00,Si,No,Si,arma,Si,No
232,6.00,8.00,0.00,No,No,Si,Seis kilos cuatrocientos setenta y cuatro gramos de clorhidrato de diacetilmorfina (peso neto).,No,No
244,4.00,0.00,0.00,No,No,Si,220.2 gramos de Metanfetamina,Si,Si
245,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
246,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
247,4.00,0.00,0.00,No,No,Si,Restante del narcótico,Si,Si
248,5.00,4.00,0.00,No,No,Si,Narcótico y arma,No,No
249,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
250,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
253,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
270,1,7,15,No,No,Si,arma de fuego con un cargador y  5 cartuchos.,Si,Si
273,6.00,8.00,0.00,No,No,Si,novecientos setenta y cuatro punto cinco gramos de clorhidrato de metanfetamina y de un cojín color gris con bordados en color amarillo,No,No
274,2.00,0.00,0.00,No,No,Si,armas,Si,Si
281,2.00,8.00,0.00,No,No,Si,Objeto bélico (arma),Si,Si
288,2.00,0.00,0.00,No,No,Si,Armas,Si,Si
315,2.00,0.00,0.00,No,No,Si,arma de fuego,Si,Si
317,2.00,8.00,0.00,No,No,Si,narcótico,Si,No
319,2.00,0.00,0.00,No,No,Si,arma de fuego,Si,Si
320,4.00,0.00,0.00,No,No,Si,narcótico,Si,Si
326,4.00,0.00,0.00,No,No,Si,narcótico,Si,Si
327,4.00,0.00,0.00,No,No,Si,narcótico,Si,Si
329,2.00,0.00,0.00,No,No,Si,arma de fuego,Si,Si
338,3.00,2.00,0.00,No,No,Si,Arma de fuego,Si,Si
339,3.00,4.00,0.00,No,No,Si,narcótico,Si,Si
342,2.00,8.00,0.00,No,No,Si,Un arma de fuego tipo escopeta calibre 12 matrícula 567341/4 con longitud de tubo del cañón de trecientos noventa y siete milímetros.,Si,No
343,2.00,8.00,0.00,No,No,Si,Un arma de fuego tipo escopeta calibre 12 matrícula 567341/4 con longitud de tubo del cañón de trecientos noventa y siete milímetros.,Si,No
344,4.00,0.00,0.00,No,No,Si,narcótico,Si,Si
346,4.00,0.00,0.00,No,No,Si,narcotico,Si,No
348,4.00,0.00,0.00,No,No,Si,narcótico,Si,Si
354,2.00,0.00,0.00,No,No,Si,artefacto belico.,Si,Si
356,4.00,6.00,0.00,No,No,Si,marihuana.,No,No
357,4.00,6.00,0.00,No,No,Si,mariguana,No,No
358,4.00,6.00,0.00,No,No,Si,mariguana,No,No
359,2.00,6.00,0.00,No,No,Si,artefacto belico,No,No
362,3.00,0.00,0.00,No,No,Si,2 armas tipo rifle calibre 22,Si,Si
368,3.00,0.00,0.00,No,No,Si,Droga,Si,Si
371,2.00,6.00,0.00,Si,No,Si,artefactos bélicos,Si,No
374,1.00,0.00,0.00,No,No,Si,arma de fuego,No,No
376,2.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
377,4.00,0.00,0.00,No,No,Si,Armas de fuego y cartuchos,Si,Si
389,4.00,2.00,0.00,No,No,Si,Narcótico,No,No
391,10,6,0,No,No,Si,Armas,No,No
392,10,6,0,No,No,Si,Armas,No,No
393,4.00,0.00,0.00,No,No,Si,un arma de fuego larga y un porta fusil con dos cargadores y cincuenta y cuatro cartuchos útiles ,Si,Si
394,2.00,0.00,0.00,No,No,Si,un arma de fuego tipo pistola calibre .38 super con un cargador abastecido con seis cartuchos utiles,Si,No
395,2.00,8.00,0.00,No,No,Si,psicotrópico afecto,Si,Si
397,2.00,0.00,0.00,No,No,Si,un arma de fuego tipo pistola calibre 9x19 milimetros abastecida con cinco cartuchos útiles al calibre,Si,No
398,6.00,8.00,0.00,No,No,Si,900 gramos de clorhidrato de metanfetamina ,No,No
402,1.00,4.00,0.00,Si,No,Si,armas de fuego,No,Si
403,1.00,4.00,0.00,Si,No,Si,arma,No,No
405,8,0,0,Si,Si,Si,Una camioneta.,No,No
406,2.00,4.00,0.00,No,No,Si,Arma de fuego,Si,No
409,1,7,25,No,No,Si,un arma con un cargador y cinco cartuchos,Si,Si
414,10,6,0,No,No,Si,Armas,No,No
415,10,6,0,No,No,Si,Armas,No,No
416,10,6,0,No,No,Si,Armas,No,No
417,10,6,0,No,No,Si,Armas,No,No
418,10,6,0,No,No,Si,Armas,No,No
419,10,6,0,No,No,Si,Armas,No,No
422,2.00,0.00,0.00,No,No,Si,armas,Si,Si
426,2,0,0,No,No,Si,Arma,Si,Si
429,2.00,6.00,0.00,No,No,Si,Se decretó el decomiso del estupefaciente y se ordenó su destrucción,No,Si
437,2.00,8.00,0.00,No,No,Si,un arma de fuego corta tipo pistola calibre .45 fabricante modelo y país de fabricación no a la vista con matrícula 471271 abastecida con cargador y tres cartuchos útiles del mismo calibre,Si,Si
440,3.00,0.00,0.00,No,No,Si,Se decretó el decomiso de los objetos bélicos afectos a la causa y se ordenó su remisión a la autoridad competente para su aprovechamiento lícito o destrucción.,Si,Si
441,6.00,8.00,7.00,No,No,Si,estupefaciente asegurado y sus respectivas muestras,No,No
448,2.00,8.00,0.00,No,No,Si,el referido documento,Si,Si
451,3.00,0.00,0.00,No,No,Si,artefactos bélicos.,Si,Si
453,2.00,3.00,30.00,No,No,Si,objetos bélicos,No,Si
456,4.00,2.00,0.00,No,No,Si,Se decretó el decomiso de los artefactos bélicos,No,No
457,4.00,2.00,0.00,No,No,Si,Se decretó el decomiso de los artefactos bélicos,No,No
458,3.00,4.00,0.00,No,No,Si,objeto bélico ,Si,No
460,3.00,4.00,0.00,No,No,Si,objeto bélico ,Si,No
462,6.00,6.00,0.00,No,No,Si,artefactos bélicos relacionados con la causa y sus aditamentos,No,No
463,6.00,6.00,0.00,No,No,Si,artefactos bélicos relacionados con esta causa y sus aditamentos,No,No
464,7.00,6.00,0.00,No,No,Si,artefactos bélicos relacionados con esta causa y sus aditamentos,No,No
476,6.00,8.00,0.00,No,No,Si,canabbis sativa,No,No
477,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
480,2.00,8.00,0.00,No,No,Si,Arma de fuego,Si,Si
483,2.00,2.00,0.00,No,No,Si,Armas de fuego ,Si,Si
484,2.00,2.00,0.00,No,No,Si,Armas de fuego,Si,Si
485,2.00,2.00,0.00,No,No,Si,Armas de fuego,Si,Si
489,3.00,9.00,0.00,No,No,Si,2 documentos con apariencia de billetes de la denominación de $200.00.,Si,No
490,3.00,4.00,0.00,No,No,Si,ARMA DE FUEGO TIPO CARABINA MARCA WINCHESTER CALIBRE 30-30 WIN MATRICULA 633218,Si,Si
506,3.00,6.00,0.00,No,No,Si,Se decretó el decomiso de los objetos bélicos afectos a la causa y se ordena su remisión a la autoridad competente para su aprovechamiento lícito o destrucción,Si,Si
509,2.00,11.00,15.00,No,No,Si,20 cápsulas del psicotrópico denominado clorhidrato de clobenzorex,Si,Si
512,2.00,11.00,0.00,No,No,Si,un arma de fuego calibre .410" abastecida con dos cartuchos organizados al calibre-.,Si,Si
515,1.00,10.00,0.00,No,No,Si,un arma de fuego tipo revólver calibre .32-20 fabricante Colts matrícula 543075 país de origen Estados Unidos de América,Si,No
518,1.00,4.00,0.00,No,No,Si,objeto bélico y cartuchos ,No,No
520,1.00,11.00,0.00,No,No,Si,narcotico,Si,Si
525,1.00,4.00,0.00,No,No,Si,objetó bélico ,Si,No
526,4.00,0.00,0.00,No,No,Si,Narcótico y numerario,Si,Si
528,1.00,4.00,0.00,No,No,Si,objeto bélico ,Si,Si
529,1.00,8.00,0.00,No,No,Si,objeto bélico ,Si,No
530,1.00,0.00,0.00,No,No,Si,Objeto bélico ,Si,Si
531,7.00,6.00,0.00,No,No,Si,Narcótico.,No,No
532,3.00,0.00,0.00,No,No,Si,Objeto bélico ,No,No
533,1.00,4.00,0.00,No,No,Si,Objeto bélico,Si,Si
534,2.00,8.00,0.00,No,No,Si,Objeto bélico,Si,Si
535,2.00,8.00,0.00,No,No,Si,Objeto bélico ,Si,Si
536,4.00,4.00,0.00,No,No,Si,Narcótico y objeto bélico.,No,No
537,2.00,8.00,0.00,No,No,Si,Objeto bélico.,Si,Si
538,2.00,8.00,0.00,No,No,Si,Objeto bélico,Si,Si
539,1.00,6.00,0.00,No,No,Si,Objeto bélico ,Si,Si
540,2.00,8.00,0.00,No,No,Si,Narcotico,Si,Si
541,6.00,8.00,0.00,No,No,Si,seis bolsas transparentes resguardantes de 2557 gramos de metanfetamina,No,No
548,2.00,6.00,0.00,No,No,Si,decomiso del material bélico,Si,Si
554,1.00,6.00,0.00,Si,No,Si,arma de fuego,No,Si
558,5.00,9.00,10.00,Si,Si,Si,La totalidad del material bélico,No,No
559,2.00,4.00,0.00,No,No,Si,Objeto bélico ,Si,Si
560,5.00,9.00,10.00,Si,Si,Si,La totalidad del material bélico ,No,No
561,5.00,9.00,10.00,Si,Si,Si,La totalidad del material bélico,No,No
562,5.00,9.00,10.00,Si,Si,Si,La totalidad del material bélico,No,No
563,2.00,8.00,0.00,No,No,Si,Narcótico ,Si,Si
564,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
572,4.00,0.00,0.00,No,No,Si,Narcótico.,Si,Si
574,2.00,0.00,0.00,No,No,Si,Objeto bélico,Si,Si
576,2.00,8.00,0.00,No,No,Si,Cargadores y objeto bélico,Si,Si
577,1.00,4.00,0.00,No,No,Si,Objeto bélico,Si,Si
578,6.00,8.00,0.00,No,No,Si,Narcotico,No,No
580,2.00,8.00,0.00,No,No,Si,objeto bélico,Si,Si
581,2.00,4.00,0.00,No,No,Si,objeto bélico,Si,Si
582,2.00,8.00,0.00,No,No,Si,objeto bélico ,Si,Si
583,2.00,8.00,0.00,No,No,Si,objeto bélico ,Si,Si
584,2.00,0.00,0.00,No,No,Si,objeto bélico,Si,Si
585,2.00,0.00,0.00,No,No,Si,objeto bélico,Si,Si
586,1.00,4.00,0.00,No,No,Si,objeto bélico,Si,No
588,6.00,8.00,0.00,No,No,Si,narcótico,No,No
597,3.00,9.00,0.00,No,No,Si,narcótico,Si,Si
599,3.00,0.00,0.00,No,No,Si,Se decretó el decomiso del psicotrópico afecto y se ordenó su destrucción.,Si,Si
600,3.00,4.00,0.00,No,No,Si,artefactos bélicos,Si,Si
602,3.00,4.00,0.00,No,No,Si,artefactos bélicos,Si,Si
611,4.00,0.00,0.00,No,No,Si,Droga,Si,Si
615,2.00,8.00,0.00,No,No,Si,Pastillas,Si,No
617,2.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
620,6.00,8.00,0.00,No,No,Si,un mil cuatrocientos un pastillas de color azul que a dictamen quimico resultó fentanilo,No,No
621,6.00,8.00,0.00,No,No,Si,un mil cuatrocientos un pastillas azules que a dictamén quimico resultó fentanillo,No,No
626,3.00,4.00,0.00,No,No,Si,15.541 kilos de goma de opio ,Si,No
627,3.00,4.00,0.00,No,No,Si,15.541 kilos de goma de opio ,No,No
628,3.00,4.00,0.00,No,No,Si,15.541 kilos de goma de opio ,Si,No
630,3,10,0,No,No,Si,objeto bélico y narcótico atribuidos,No,No
631,7.00,0.00,0.00,No,No,Si,703.1 gramos de fentanilo ,No,No
633,4,9,0,No,No,Si,objetos bélicos atribuidos,No,No
634,2.00,8.00,0.00,No,No,Si,Arma de fuego,Si,Si
637,2.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
640,3.00,4.00,0.00,No,No,Si,numerario asegurado,No,No
641,2.00,6.00,0.00,No,No,Si,Arma de fuego,No,No
652,1.00,4.00,0.00,No,No,Si,Arma de fuego,Si,Si
654,1.00,4.00,0.00,No,No,Si,Arma de fuego,Si,No
659,6.00,8.00,0.00,Si,No,Si,Vehículo,No,No
661,2.00,0.00,0.00,No,No,Si,Arma de fuego,No,Si
663,2.00,7.00,15.00,No,No,Si,Arma de fuego,Si,Si
664,11,8,0,No,No,Si,Metanfetamina,No,No
665,2.00,8.00,0.00,No,No,Si,Documento a manera de certificado de terminación de estudios de bachillerato A0015652 de cinco de septiembre de dos mil catorce supuestamente expedido por la Dirección General de Bachillerato de la Secretaría de Educación Pública.,Si,Si
670,2.00,8.00,0.00,Si,No,Si,18 bidones,Si,No
677,1.00,4.00,0.00,No,No,Si,Objeto bélico ,Si,Si
678,4.00,0.00,0.00,No,No,Si,Objeto bélico y cargadores,Si,Si
680,3.00,4.00,0.00,No,No,Si,narcóticos,Si,Si
681,3.00,4.00,0.00,No,No,Si,narcóticos,Si,Si
682,3.00,4.00,0.00,No,No,Si,narcóticos,Si,Si
683,3.00,4.00,0.00,No,No,Si,narcóticos,Si,Si
684,3.00,4.00,0.00,No,No,Si,narcóticos,Si,Si
685,1.00,8.00,0.00,No,No,Si,artefactos bélicos,No,Si
687,6.00,8.00,0.00,No,No,Si,Narcótico,No,No
688,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
689,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
690,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
691,2.00,0.00,0.00,No,No,Si,Objeto bélico ,Si,Si
692,4.00,0.00,0.00,No,No,Si,Narcótico,Si,Si
693,8.00,8.00,0.00,No,No,Si,NARCÓTICO,Si,Si
698,3.00,4.00,0.00,No,No,Si,Marihuana,Si,Si
700,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
702,4.00,0.00,0.00,No,No,Si,Armas y Cartuchos,Si,No
703,4.00,0.00,0.00,No,No,Si,Armas y Cartuchos,Si,No
704,2.00,8.00,0.00,No,No,Si,Sustancia de metanfetamina,Si,Si
707,3.00,0.00,0.00,No,No,Si,pastillas psicotropicas,Si,Si
710,2.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
713,1.00,4.00,0.00,No,No,Si,Arma de fuego,Si,Si
717,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
718,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
719,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
720,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
722,2.00,8.00,0.00,No,No,Si,Sustancia Clobenzorex,Si,No
726,2.00,0.00,0.00,No,No,Si,Arma de fuego,No,No
727,2.00,8.00,0.00,No,No,Si,Psicotropico,Si,Si
728,2.00,0.00,0.00,No,No,Si,Arma de fuego,No,Si
737,2.00,6.00,0.00,No,No,Si,Arma de fuego,No,No
739,2.00,8.00,0.00,No,No,Si,psicotropico,Si,Si
747,3.00,4.00,0.00,No,No,Si,Marihuana,Si,No
748,2.00,0.00,0.00,No,No,Si,Arma de fuego,No,Si
750,2.00,8.00,0.00,No,No,Si,psicotropico,Si,Si
751,3.00,9.00,0.00,No,No,Si,Armas de fuego,Si,Si
752,3.00,9.00,0.00,No,No,Si,Armas de fuego,Si,Si
754,15,0,0,Si,No,Si,vehículos afectos,No,No
755,18,10,15,Si,No,Si,objetos bélicos y vehículos afectos,No,No
756,1.00,6.00,0.00,No,No,Si,Arma de fuego,Si,No
757,5,0,0,No,No,Si,objetos bélicos atribuidos,No,No
758,3.00,0.00,0.00,No,No,Si,Marihuana,No,No
759,2.00,5.00,20.00,No,No,Si,Marihuana,Si,Si
760,1.00,4.00,0.00,No,No,Si,Arma de fuego,Si,Si
764,3,0,0,No,No,Si,objeto bélico atribuido,Si,No
768,3,0,0,No,No,Si,objeto bélico atribuido,Si,No
781,1.00,4.00,0.00,No,No,Si,Material bélico afecto a la causa ,Si,Si
785,4.00,0.00,0.00,No,No,Si,Se decretó el decomiso de los psicotrópicos y se ordenó su destrucción. ,Si,Si
801,3.00,8.00,0.00,No,No,Si,Armas y cartuchos,Si,No
806,3.00,4.00,0.00,No,No,Si,Metanfetamina y marihuana,No,No
807,3.00,0.00,0.00,No,No,Si,Armas de fuego,No,No
808,1.00,6.00,0.00,No,No,Si,Arma de fuego,No,No
809,2.00,4.00,0.00,No,No,Si,armas de fuego,Si,No
810,2.00,4.00,0.00,No,No,Si,Armas de fuego,Si,No
811,2.00,4.00,0.00,No,No,Si,Armas de fuego,Si,No
812,1.00,6.00,0.00,No,No,Si,Arma de fuego,Si,No
813,1.00,6.00,0.00,No,No,Si,Armas de fuego,Si,No
815,1.00,10.00,15.00,No,No,Si,Armas de fuego,Si,No
817,3.00,0.00,0.00,No,No,Si,Marihuana,Si,No
821,3.00,0.00,0.00,No,No,Si,pastillas psicotropica,Si,Si
823,4.00,0.00,0.00,No,No,Si,Numerario,Si,No
826,6.00,11.00,0.00,No,No,Si,Droga,No,No
827,4.00,0.00,0.00,No,No,Si,NARCÓTICO,Si,Si
828,4.00,0.00,0.00,No,No,Si,Arma y cartuchos,Si,Si
829,8.00,3.00,0.00,No,No,Si,Narcótico y armas,No,No
830,7.00,4.00,0.00,No,No,Si,Narcótico y armas,No,No
835,2.00,0.00,0.00,No,No,Si,Arma de fuego,No,No
837,3.00,4.00,0.00,No,No,Si,Metanfetamina,No,No
838,9.00,0.00,0.00,No,No,Si,CARTUCHOS,Si,No
839,3.00,4.00,0.00,No,No,Si,Metanfetamina,No,No
840,5.00,7.00,15.00,No,No,Si,Sustancia clonazapam,No,No
842,1.00,6.00,0.00,No,No,Si,arma de fuego,Si,Si
844,3.00,0.00,0.00,No,No,Si,suatancia,Si,Si
845,2.00,3.00,0.00,No,No,Si,armas de fuego,No,No
848,2.00,3.00,0.00,No,No,Si,Arma de fuego,Si,No
854,2.00,6.00,0.00,No,No,Si,Los artefactos bélicos,Si,Si
856,4.00,0.00,0.00,No,No,Si,clorhidrato de metanfetamina.,No,Si
857,4.00,0.00,0.00,No,No,Si,clorhidrato de metanfetamina.,No,Si
858,1.00,6.00,0.00,No,No,Si,arma de fuego,Si,No
860,5.00,4.00,0.00,No,No,Si,armas de fuego,No,No
861,1.00,4.00,0.00,No,No,Si,ARMA DE FUEGO,No,No
862,2.00,3.00,0.00,No,No,Si,Cartuchos afectos,Si,Si
865,4.00,0.00,0.00,No,No,Si,Narcótico afecto,Si,Si
866,2.00,8.00,0.00,No,No,Si,arma de fuego.,No,No
867,3.00,11.00,0.00,No,No,Si,arma de fuego,Si,Si
870,4.00,0.00,0.00,No,No,Si,Narcótico afecto,Si,Si
871,4.00,0.00,0.00,No,No,Si,Narcótico asegurado,Si,Si
873,4.00,0.00,0.00,No,No,Si,Narcótico afecto,Si,Si
874,4.00,0.00,0.00,No,No,Si,Narcótico asegurado,Si,Si
878,2.00,3.00,0.00,No,No,Si,Arma de fuego,Si,Si
879,3.00,9.00,0.00,No,No,Si,Metanfetamina,Si,Si
880,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
882,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
883,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,No
